time,open,high,low,close,isOpen,tickVolume
2026-09-15 12:16:00+00:00,1.348475,1.348515,1.348255,1.348305,False,55.0
2026-09-15 12:17:00+00:00,1.348285,1.348325,1.348105,1.348105,False,52.0
2026-09-15 12:18:00+00:00,1.348125,1.348135,1.348065,1.348095,False,29.0
2026-09-15 12:19:00+00:00,1.348105,1.348135,1.348055,1.348115,False,37.0
2026-09-15 12:20:00+00:00,1.348105,1.348125,1.347985,1.348075,False,49.0
2026-09-15 12:21:00+00:00,1.348085,1.348115,1.348015,1.348095,False,40.0
2026-09-15 12:22:00+00:00,1.348075,1.348105,1.348005,1.348075,False,31.0
2026-09-15 12:23:00+00:00,1.348085,1.348155,1.348045,1.348115,False,36.0
2026-09-15 12:24:00+00:00,1.348135,1.348205,1.348005,1.348065,False,44.0
2026-09-15 12:25:00+00:00,1.348075,1.348175,1.348015,1.348105,False,49.0
2026-09-15 12:26:00+00:00,1.348095,1.348175,1.348085,1.348105,False,31.0
2026-09-15 12:27:00+00:00,1.348115,1.348155,1.348095,1.348105,False,26.0
2026-09-15 12:28:00+00:00,1.348115,1.348255,1.348095,1.348195,False,30.0
2026-09-15 12:29:00+00:00,1.348205,1.348255,1.348155,1.348215,False,37.0
2026-09-15 12:30:00+00:00,1.348205,1.348395,1.348205,1.348345,False,30.0
2026-09-15 12:31:00+00:00,1.348335,1.348435,1.348315,1.348415,False,24.0
2026-09-15 12:32:00+00:00,1.348405,1.348465,1.348325,1.348355,False,31.0
2026-09-15 12:33:00+00:00,1.348305,1.348325,1.348265,1.348305,False,23.0
2026-09-15 12:34:00+00:00,1.348335,1.348625,1.348325,1.348605,False,48.0
2026-09-15 12:35:00+00:00,1.348615,1.348635,1.348475,1.348555,False,51.0
2026-09-15 12:36:00+00:00,1.348535,1.348575,1.348465,1.348495,False,52.0
2026-09-15 12:37:00+00:00,1.348515,1.348545,1.348465,1.348475,False,40.0
2026-09-15 12:38:00+00:00,1.348515,1.348555,1.348415,1.348525,False,33.0
2026-09-15 12:39:00+00:00,1.348545,1.348555,1.348385,1.348385,False,41.0
2026-09-15 12:40:00+00:00,1.348395,1.348425,1.348285,1.348285,False,40.0
2026-09-15 12:41:00+00:00,1.348295,1.348395,1.348255,1.348375,False,24.0
2026-09-15 12:42:00+00:00,1.348365,1.348425,1.348325,1.348355,False,39.0
2026-09-15 12:43:00+00:00,1.348365,1.348465,1.348345,1.348375,False,39.0
2026-09-15 12:44:00+00:00,1.348365,1.348445,1.348355,1.348385,False,35.0
2026-09-15 12:45:00+00:00,1.348365,1.348525,1.348295,1.348365,False,70.0
2026-09-15 12:46:00+00:00,1.348345,1.348485,1.348275,1.348425,False,54.0
2026-09-15 12:47:00+00:00,1.348435,1.348595,1.348405,1.348525,False,71.0
2026-09-15 12:48:00+00:00,1.348535,1.348775,1.348485,1.348765,False,92.0
2026-09-15 12:49:00+00:00,1.348725,1.348885,1.348675,1.348795,False,69.0
2026-09-15 12:50:00+00:00,1.348805,1.348835,1.348665,1.348715,False,55.0
2026-09-15 12:51:00+00:00,1.348705,1.348715,1.348495,1.348605,False,66.0
2026-09-15 12:52:00+00:00,1.348585,1.348615,1.348395,1.348445,False,45.0
2026-09-15 12:53:00+00:00,1.348435,1.348535,1.348385,1.348515,False,46.0
2026-09-15 12:54:00+00:00,1.348525,1.348595,1.348415,1.348505,False,44.0
2026-09-15 12:55:00+00:00,1.348495,1.348615,1.348295,1.348515,False,54.0
2026-09-15 12:56:00+00:00,1.348545,1.348595,1.348395,1.348425,False,68.0
2026-09-15 12:57:00+00:00,1.348435,1.348495,1.348265,1.348295,False,59.0
2026-09-15 12:58:00+00:00,1.348265,1.348285,1.348175,1.348225,False,39.0
2026-09-15 12:59:00+00:00,1.348245,1.348305,1.348195,1.348205,False,45.0
2026-09-15 13:00:00+00:00,1.348185,1.348405,1.348165,1.348305,False,60.0
2026-09-15 13:01:00+00:00,1.348315,1.348385,1.348245,1.348375,False,43.0
2026-09-15 13:02:00+00:00,1.348395,1.348635,1.348315,1.348625,False,46.0
2026-09-15 13:03:00+00:00,1.348605,1.348715,1.348575,1.348575,False,49.0
2026-09-15 13:04:00+00:00,1.348585,1.348725,1.348555,1.348725,False,33.0
2026-09-15 13:05:00+00:00,1.348735,1.348735,1.348565,1.348575,False,36.0
2026-09-15 13:06:00+00:00,1.348585,1.348585,1.348425,1.348505,False,40.0
2026-09-15 13:07:00+00:00,1.348495,1.348535,1.348395,1.348395,False,40.0
2026-09-15 13:08:00+00:00,1.348385,1.348435,1.348345,1.348365,False,33.0
2026-09-15 13:09:00+00:00,1.348355,1.348515,1.348355,1.348495,False,41.0
2026-09-15 13:10:00+00:00,1.348515,1.348625,1.348485,1.348625,False,43.0
2026-09-15 13:11:00+00:00,1.348615,1.348655,1.348555,1.348615,False,30.0
2026-09-15 13:12:00+00:00,1.348605,1.348645,1.348595,1.348615,False,23.0
2026-09-15 13:13:00+00:00,1.348625,1.348675,1.348385,1.348385,False,40.0
2026-09-15 13:14:00+00:00,1.348405,1.348505,1.348315,1.348435,False,36.0
2026-09-15 13:15:00+00:00,1.348415,1.348465,1.348375,1.348375,False,36.0
2026-09-15 13:16:00+00:00,1.348385,1.348455,1.348365,1.348435,False,30.0
2026-09-15 13:17:00+00:00,1.348505,1.348525,1.348385,1.348425,False,26.0
2026-09-15 13:18:00+00:00,1.348415,1.348495,1.348215,1.348235,False,45.0
2026-09-15 13:19:00+00:00,1.348255,1.348335,1.348185,1.348215,False,35.0
2026-09-15 13:20:00+00:00,1.348205,1.348315,1.348135,1.348215,False,36.0
2026-09-15 13:21:00+00:00,1.348265,1.348265,1.348065,1.348225,False,49.0
2026-09-15 13:22:00+00:00,1.348195,1.348205,1.347995,1.348065,False,66.0
2026-09-15 13:23:00+00:00,1.348085,1.348355,1.348085,1.348345,False,53.0
2026-09-15 13:24:00+00:00,1.348335,1.348415,1.348265,1.348395,False,26.0
2026-09-15 13:25:00+00:00,1.348375,1.348495,1.348375,1.348425,False,32.0
2026-09-15 13:26:00+00:00,1.348405,1.348515,1.348335,1.348505,False,43.0
2026-09-15 13:27:00+00:00,1.348495,1.348495,1.348345,1.348475,False,46.0
2026-09-15 13:28:00+00:00,1.348445,1.348505,1.348375,1.348485,False,42.0
2026-09-15 13:29:00+00:00,1.348495,1.348505,1.348335,1.348365,False,40.0
2026-09-15 13:30:00+00:00,1.348395,1.348465,1.348135,1.348175,False,77.0
2026-09-15 13:31:00+00:00,1.348205,1.348325,1.348085,1.348135,False,90.0
2026-09-15 13:32:00+00:00,1.348125,1.348145,1.347955,1.347995,False,58.0
2026-09-15 13:33:00+00:00,1.348005,1.348205,1.348005,1.348145,False,50.0
2026-09-15 13:34:00+00:00,1.348135,1.348225,1.348095,1.348095,False,50.0
2026-09-15 13:35:00+00:00,1.348125,1.348385,1.348075,1.348335,False,56.0
2026-09-15 13:36:00+00:00,1.348355,1.348625,1.348305,1.348545,False,50.0
2026-09-15 13:37:00+00:00,1.348565,1.348635,1.348495,1.348515,False,39.0
2026-09-15 13:38:00+00:00,1.348535,1.348555,1.348395,1.348395,False,48.0
2026-09-15 13:39:00+00:00,1.348405,1.348415,1.348305,1.348375,False,39.0
2026-09-15 13:40:00+00:00,1.348385,1.348665,1.348385,1.348625,False,45.0
2026-09-15 13:41:00+00:00,1.348615,1.348655,1.348475,1.348525,False,45.0
2026-09-15 13:42:00+00:00,1.348515,1.348665,1.348515,1.348615,False,36.0
2026-09-15 13:43:00+00:00,1.348585,1.348735,1.348565,1.348735,False,45.0
2026-09-15 13:44:00+00:00,1.348725,1.348875,1.348725,1.348855,False,47.0
2026-09-15 13:45:00+00:00,1.348825,1.348835,1.348765,1.348825,False,36.0
2026-09-15 13:46:00+00:00,1.348765,1.349055,1.348685,1.349055,False,59.0
2026-09-15 13:47:00+00:00,1.349045,1.349115,1.348925,1.348945,False,34.0
2026-09-15 13:48:00+00:00,1.349025,1.349055,1.348955,1.348955,False,35.0
2026-09-15 13:49:00+00:00,1.348995,1.349145,1.348985,1.349135,False,37.0
2026-09-15 13:50:00+00:00,1.349175,1.349335,1.349155,1.349195,False,48.0
2026-09-15 13:51:00+00:00,1.349235,1.349435,1.349195,1.349405,False,41.0
2026-09-15 13:52:00+00:00,1.349425,1.349535,1.349415,1.349495,False,44.0
2026-09-15 13:53:00+00:00,1.349485,1.349595,1.349405,1.349595,False,46.0
2026-09-15 13:54:00+00:00,1.349615,1.349625,1.349565,1.349605,False,32.0
2026-09-15 13:55:00+00:00,1.349595,1.349675,1.349555,1.349565,False,26.0
2026-09-15 13:56:00+00:00,1.349575,1.349595,1.349465,1.349475,False,47.0
2026-09-15 13:57:00+00:00,1.349485,1.349565,1.349365,1.349385,False,54.0
2026-09-15 13:58:00+00:00,1.349405,1.349445,1.349295,1.349405,False,41.0
2026-09-15 13:59:00+00:00,1.349415,1.349495,1.349295,1.349305,False,53.0
2026-09-15 14:00:00+00:00,1.349315,1.349415,1.349225,1.349285,False,54.0
2026-09-15 14:01:00+00:00,1.349295,1.349295,1.349095,1.349115,False,66.0
2026-09-15 14:02:00+00:00,1.349135,1.349185,1.349065,1.349135,False,50.0
2026-09-15 14:03:00+00:00,1.349145,1.349155,1.348995,1.349055,False,40.0
2026-09-15 14:04:00+00:00,1.349045,1.349055,1.348895,1.348925,False,42.0
2026-09-15 14:05:00+00:00,1.348935,1.349065,1.348875,1.349065,False,40.0
2026-09-15 14:06:00+00:00,1.349075,1.349215,1.349075,1.349125,False,52.0
2026-09-15 14:07:00+00:00,1.349115,1.349425,1.349095,1.349365,False,50.0
2026-09-15 14:08:00+00:00,1.349325,1.349405,1.349275,1.349285,False,52.0
2026-09-15 14:09:00+00:00,1.349325,1.349425,1.349275,1.349385,False,51.0
2026-09-15 14:10:00+00:00,1.349405,1.349405,1.349195,1.349395,False,46.0
2026-09-15 14:11:00+00:00,1.349405,1.349405,1.349255,1.349285,False,45.0
2026-09-15 14:12:00+00:00,1.349255,1.349255,1.349085,1.349085,False,49.0
2026-09-15 14:13:00+00:00,1.349075,1.349225,1.349075,1.349175,False,46.0
2026-09-15 14:14:00+00:00,1.349185,1.349225,1.349085,1.349145,False,35.0
2026-09-15 14:15:00+00:00,1.349155,1.349265,1.349095,1.349135,False,50.0
2026-09-15 14:16:00+00:00,1.349125,1.349135,1.349025,1.349075,False,41.0
2026-09-15 14:17:00+00:00,1.349065,1.349065,1.348875,1.348905,False,40.0
2026-09-15 14:18:00+00:00,1.348915,1.348945,1.348725,1.348745,False,47.0
2026-09-15 14:19:00+00:00,1.348765,1.349145,1.348755,1.349145,False,37.0
2026-09-15 14:20:00+00:00,1.349155,1.349205,1.348985,1.349085,False,49.0
2026-09-15 14:21:00+00:00,1.349055,1.349095,1.348935,1.348935,False,32.0
2026-09-15 14:22:00+00:00,1.348955,1.349115,1.348895,1.349085,False,48.0
2026-09-15 14:23:00+00:00,1.349055,1.349145,1.348975,1.349125,False,50.0
2026-09-15 14:24:00+00:00,1.349085,1.349225,1.349085,1.349175,False,49.0
2026-09-15 14:25:00+00:00,1.349195,1.349245,1.349115,1.349215,False,44.0
2026-09-15 14:26:00+00:00,1.349225,1.349355,1.349175,1.349285,False,38.0
2026-09-15 14:27:00+00:00,1.349295,1.349305,1.349175,1.349245,False,32.0
2026-09-15 14:28:00+00:00,1.349215,1.349215,1.349085,1.349085,False,38.0
2026-09-15 14:29:00+00:00,1.349095,1.349155,1.349005,1.349115,False,48.0
2026-09-15 14:30:00+00:00,1.349105,1.349335,1.349055,1.349225,False,54.0
2026-09-15 14:31:00+00:00,1.349215,1.349315,1.349145,1.349255,False,51.0
2026-09-15 14:32:00+00:00,1.349245,1.349335,1.349225,1.349305,False,44.0
2026-09-15 14:33:00+00:00,1.349355,1.349625,1.349315,1.349485,False,62.0
2026-09-15 14:34:00+00:00,1.349445,1.349505,1.349205,1.349255,False,56.0
2026-09-15 14:35:00+00:00,1.349275,1.349315,1.349155,1.349205,False,59.0
2026-09-15 14:36:00+00:00,1.349185,1.349305,1.349095,1.349305,False,64.0
2026-09-15 14:37:00+00:00,1.349265,1.349295,1.349065,1.349155,False,69.0
2026-09-15 14:38:00+00:00,1.349165,1.349165,1.348845,1.348875,False,55.0
2026-09-15 14:39:00+00:00,1.348865,1.349005,1.348805,1.348935,False,47.0
2026-09-15 14:40:00+00:00,1.348955,1.349135,1.348865,1.349085,False,45.0
2026-09-15 14:41:00+00:00,1.349105,1.349265,1.349055,1.349195,False,48.0
2026-09-15 14:42:00+00:00,1.349205,1.349325,1.349195,1.349275,False,31.0
2026-09-15 14:43:00+00:00,1.349235,1.349275,1.349115,1.349135,False,52.0
2026-09-15 14:44:00+00:00,1.349115,1.349185,1.349095,1.349105,False,38.0
2026-09-15 14:45:00+00:00,1.349115,1.349235,1.349085,1.349165,False,48.0
2026-09-15 14:46:00+00:00,1.349155,1.349285,1.349155,1.349245,False,37.0
2026-09-15 14:47:00+00:00,1.349235,1.349265,1.349105,1.349155,False,37.0
2026-09-15 14:48:00+00:00,1.349135,1.349145,1.349085,1.349115,False,28.0
2026-09-15 14:49:00+00:00,1.349085,1.349085,1.348955,1.349015,False,37.0
2026-09-15 14:50:00+00:00,1.349025,1.349045,1.348895,1.349035,False,48.0
2026-09-15 14:51:00+00:00,1.349025,1.349105,1.348725,1.349075,False,92.0
2026-09-15 14:52:00+00:00,1.349095,1.349295,1.349065,1.349245,False,52.0
2026-09-15 14:53:00+00:00,1.349235,1.349285,1.349125,1.349125,False,42.0
2026-09-15 14:54:00+00:00,1.349155,1.349205,1.349095,1.349115,False,34.0
2026-09-15 14:55:00+00:00,1.349095,1.349365,1.349095,1.349345,False,54.0
2026-09-15 14:56:00+00:00,1.349365,1.349445,1.349275,1.349285,False,44.0
2026-09-15 14:57:00+00:00,1.349305,1.349305,1.349055,1.349065,False,67.0
2026-09-15 14:58:00+00:00,1.349075,1.349145,1.348905,1.348985,False,56.0
2026-09-15 14:59:00+00:00,1.349015,1.349025,1.348785,1.348795,False,44.0
2026-09-15 15:00:00+00:00,1.348805,1.348945,1.348795,1.348815,False,48.0
2026-09-15 15:01:00+00:00,1.348825,1.348865,1.348685,1.348725,False,56.0
2026-09-15 15:02:00+00:00,1.348745,1.348765,1.348595,1.348625,False,64.0
2026-09-15 15:03:00+00:00,1.348635,1.348925,1.348605,1.348855,False,63.0
2026-09-15 15:04:00+00:00,1.348835,1.348935,1.348815,1.348895,False,43.0
2026-09-15 15:05:00+00:00,1.348925,1.348965,1.348805,1.348935,False,39.0
2026-09-15 15:06:00+00:00,1.348925,1.349085,1.348925,1.349035,False,54.0
2026-09-15 15:07:00+00:00,1.349055,1.349075,1.348805,1.348805,False,57.0
2026-09-15 15:08:00+00:00,1.348795,1.348835,1.348675,1.348685,False,38.0
2026-09-15 15:09:00+00:00,1.348675,1.348735,1.348625,1.348715,False,42.0
2026-09-15 15:10:00+00:00,1.348685,1.348785,1.348685,1.348725,False,33.0
2026-09-15 15:11:00+00:00,1.348715,1.348945,1.348675,1.348865,False,41.0
2026-09-15 15:12:00+00:00,1.348895,1.348945,1.348645,1.348675,False,49.0
2026-09-15 15:13:00+00:00,1.348705,1.348705,1.348385,1.348425,False,41.0
2026-09-15 15:14:00+00:00,1.348415,1.348455,1.348275,1.348445,False,34.0
2026-09-15 15:15:00+00:00,1.348425,1.348465,1.348325,1.348325,False,33.0
2026-09-15 15:16:00+00:00,1.348335,1.348515,1.348225,1.348515,False,44.0
2026-09-15 15:17:00+00:00,1.348525,1.348525,1.348405,1.348415,False,54.0
2026-09-15 15:18:00+00:00,1.348425,1.348525,1.348345,1.348465,False,29.0
2026-09-15 15:19:00+00:00,1.348475,1.348485,1.348405,1.348445,False,34.0
2026-09-15 15:20:00+00:00,1.348435,1.348475,1.348335,1.348355,False,43.0
2026-09-15 15:21:00+00:00,1.348345,1.348425,1.348325,1.348415,False,35.0
2026-09-15 15:22:00+00:00,1.348405,1.348405,1.348245,1.348335,False,40.0
2026-09-15 15:23:00+00:00,1.348345,1.348355,1.348275,1.348335,False,34.0
2026-09-15 15:24:00+00:00,1.348345,1.348555,1.348335,1.348545,False,38.0
2026-09-15 15:25:00+00:00,1.348555,1.348565,1.348445,1.348555,False,44.0
2026-09-15 15:26:00+00:00,1.348535,1.348565,1.348435,1.348555,False,34.0
2026-09-15 15:27:00+00:00,1.348535,1.348615,1.348515,1.348565,False,29.0
2026-09-15 15:28:00+00:00,1.348555,1.348655,1.348465,1.348635,False,33.0
2026-09-15 15:29:00+00:00,1.348655,1.348665,1.348515,1.348525,False,48.0
2026-09-15 15:30:00+00:00,1.348515,1.348585,1.348405,1.348415,False,60.0
2026-09-15 15:31:00+00:00,1.348445,1.348495,1.348355,1.348355,False,45.0
2026-09-15 15:32:00+00:00,1.348365,1.348465,1.348355,1.348395,False,45.0
2026-09-15 15:33:00+00:00,1.348375,1.348375,1.348135,1.348135,False,38.0
2026-09-15 15:34:00+00:00,1.348155,1.348185,1.348075,1.348175,False,33.0
2026-09-15 15:35:00+00:00,1.348185,1.348185,1.347885,1.347935,False,61.0
2026-09-15 15:36:00+00:00,1.347925,1.348055,1.347915,1.347945,False,46.0
2026-09-15 15:37:00+00:00,1.347915,1.347935,1.347595,1.347635,False,43.0
2026-09-15 15:38:00+00:00,1.347645,1.347675,1.347515,1.347535,False,46.0
2026-09-15 15:39:00+00:00,1.347545,1.347555,1.347415,1.347425,False,44.0
2026-09-15 15:40:00+00:00,1.347415,1.347555,1.347415,1.347545,False,43.0
2026-09-15 15:41:00+00:00,1.347575,1.347655,1.347475,1.347505,False,43.0
2026-09-15 15:42:00+00:00,1.347485,1.347585,1.347405,1.347535,False,40.0
2026-09-15 15:43:00+00:00,1.347545,1.347645,1.347545,1.347555,False,26.0
2026-09-15 15:44:00+00:00,1.347545,1.347665,1.347515,1.347535,False,31.0
2026-09-15 15:45:00+00:00,1.347565,1.347575,1.347495,1.347525,False,31.0
2026-09-15 15:46:00+00:00,1.347545,1.347545,1.347435,1.347465,False,32.0
2026-09-15 15:47:00+00:00,1.347475,1.347565,1.347475,1.347525,False,30.0
2026-09-15 15:48:00+00:00,1.347545,1.347745,1.347535,1.347625,False,46.0
2026-09-15 15:49:00+00:00,1.347605,1.347645,1.347395,1.347445,False,38.0
2026-09-15 15:50:00+00:00,1.347405,1.347765,1.347405,1.347645,False,96.0
2026-09-15 15:51:00+00:00,1.347675,1.347675,1.347535,1.347545,False,46.0
2026-09-15 15:52:00+00:00,1.347555,1.347595,1.347515,1.347585,False,42.0
2026-09-15 15:53:00+00:00,1.347555,1.347665,1.347515,1.347625,False,39.0
2026-09-15 15:54:00+00:00,1.347615,1.347635,1.347435,1.347445,False,53.0
2026-09-15 15:55:00+00:00,1.347475,1.347975,1.347455,1.347975,False,63.0
2026-09-15 15:56:00+00:00,1.347935,1.347945,1.347745,1.347895,False,69.0
2026-09-15 15:57:00+00:00,1.347885,1.348075,1.347745,1.347755,False,72.0
2026-09-15 15:58:00+00:00,1.347765,1.347945,1.347735,1.347845,False,45.0
2026-09-15 15:59:00+00:00,1.347865,1.347865,1.347705,1.347725,False,47.0
2026-09-15 16:00:00+00:00,1.347735,1.347845,1.347645,1.347775,False,51.0
2026-09-15 16:01:00+00:00,1.347795,1.347905,1.347765,1.347845,False,45.0
