time,open,high,low,close,isOpen,tickVolume
2026-09-15 12:17:00+00:00,155.0095,155.0335,155.0035,155.0325,False,67.0
2026-09-15 12:18:00+00:00,155.0315,155.0525,155.0275,155.0415,False,63.0
2026-09-15 12:19:00+00:00,155.0475,155.0715,155.0445,155.0575,False,72.0
2026-09-15 12:20:00+00:00,155.0635,155.0805,155.0495,155.0635,False,61.0
2026-09-15 12:21:00+00:00,155.0655,155.0805,155.0605,155.0645,False,54.0
2026-09-15 12:22:00+00:00,155.0605,155.0885,155.0605,155.0705,False,57.0
2026-09-15 12:23:00+00:00,155.0695,155.0765,155.0515,155.0565,False,60.0
2026-09-15 12:24:00+00:00,155.0535,155.0535,155.0345,155.0385,False,48.0
2026-09-15 12:25:00+00:00,155.0365,155.0485,155.0265,155.0365,False,61.0
2026-09-15 12:26:00+00:00,155.0425,155.0595,155.0365,155.0565,False,50.0
2026-09-15 12:27:00+00:00,155.0555,155.0555,155.0365,155.0415,False,48.0
2026-09-15 12:28:00+00:00,155.0445,155.0445,155.0115,155.0175,False,51.0
2026-09-15 12:29:00+00:00,155.0195,155.0195,155.0045,155.0045,False,42.0
2026-09-15 12:30:00+00:00,155.0035,155.0105,154.9815,154.9915,False,38.0
2026-09-15 12:31:00+00:00,154.9905,155.0085,154.9865,154.9875,False,48.0
2026-09-15 12:32:00+00:00,154.9885,155.0075,154.9825,155.0035,False,49.0
2026-09-15 12:33:00+00:00,155.0045,155.0095,154.9885,154.9885,False,42.0
2026-09-15 12:34:00+00:00,154.9865,154.9915,154.9495,154.9545,False,63.0
2026-09-15 12:35:00+00:00,154.9525,154.9545,154.9415,154.9435,False,65.0
2026-09-15 12:36:00+00:00,154.9455,154.9535,154.9235,154.9335,False,76.0
2026-09-15 12:37:00+00:00,154.9345,154.9435,154.9185,154.9385,False,57.0
2026-09-15 12:38:00+00:00,154.9415,154.9555,154.9195,154.9415,False,71.0
2026-09-15 12:39:00+00:00,154.9385,154.9755,154.9375,154.9655,False,46.0
2026-09-15 12:40:00+00:00,154.9695,155.0055,154.9675,154.9935,False,66.0
2026-09-15 12:41:00+00:00,154.9925,155.0085,154.9925,154.9925,False,52.0
2026-09-15 12:42:00+00:00,154.9935,155.0035,154.9795,154.9925,False,65.0
2026-09-15 12:43:00+00:00,154.9895,154.9945,154.9765,154.9885,False,76.0
2026-09-15 12:44:00+00:00,154.9905,155.0085,154.9885,155.0055,False,63.0
2026-09-15 12:45:00+00:00,155.0045,155.0205,154.9575,154.9825,False,132.0
2026-09-15 12:46:00+00:00,154.9855,155.0015,154.9535,154.9655,False,83.0
2026-09-15 12:47:00+00:00,154.9665,154.9795,154.9375,154.9535,False,86.0
2026-09-15 12:48:00+00:00,154.9475,154.9475,154.8455,154.8485,False,187.0
2026-09-15 12:49:00+00:00,154.8515,154.8775,154.8345,154.8645,False,179.0
2026-09-15 12:50:00+00:00,154.8665,154.8845,154.8505,154.8835,False,134.0
2026-09-15 12:51:00+00:00,154.8855,154.9075,154.8695,154.8855,False,103.0
2026-09-15 12:52:00+00:00,154.8875,154.9405,154.8875,154.9335,False,79.0
2026-09-15 12:53:00+00:00,154.9315,154.9355,154.8975,154.9065,False,86.0
